"FullName","RelativePath","Length","LastWriteTime","MD5"
"C:\Users\Usuario\Desktop\BotMensajes\.dockerignore","C:\Users\Usuario\Desktop\BotMensajes\.dockerignore","41","23/07/2026 18:13:07","2FF1182CA9B7D0A302D89800DF7D538A"
"C:\Users\Usuario\Desktop\BotMensajes\.env","C:\Users\Usuario\Desktop\BotMensajes\.env","2729","22/08/2026 11:12:36","6422B9D674F227F6C6C5033A1B411887"
"C:\Users\Usuario\Desktop\BotMensajes\.env.example","C:\Users\Usuario\Desktop\BotMensajes\.env.example","2511","18/08/2026 20:26:58","5A1C88A3B480C7ECBAA21141D7FD6BF9"
"C:\Users\Usuario\Desktop\BotMensajes\.gitignore","C:\Users\Usuario\Desktop\BotMensajes\.gitignore","84","30/07/2026 21:36:00","7455BE15CEC23BBE1E4CB75537963C92"
"C:\Users\Usuario\Desktop\BotMensajes\audit_inventory.csv","C:\Users\Usuario\Desktop\BotMensajes\audit_inventory.csv","0","23/08/2026 05:19:21",
"C:\Users\Usuario\Desktop\BotMensajes\commit_msg.txt","C:\Users\Usuario\Desktop\BotMensajes\commit_msg.txt","80","18/08/2026 20:51:46","919BAB6CDF6E81CB5687B251AF996152"
"C:\Users\Usuario\Desktop\BotMensajes\commitmsg.txt","C:\Users\Usuario\Desktop\BotMensajes\commitmsg.txt","197","19/08/2026 18:15:26","4D3BCABD6921AF75428A307083F50583"
"C:\Users\Usuario\Desktop\BotMensajes\CONSENTIMIENTO_CLIENTE.md","C:\Users\Usuario\Desktop\BotMensajes\CONSENTIMIENTO_CLIENTE.md","1444","30/07/2026 22:49:47","2D051A7BC7F18456F8DFEEF2FB306FF7"
"C:\Users\Usuario\Desktop\BotMensajes\diag_handles.js","C:\Users\Usuario\Desktop\BotMensajes\diag_handles.js","3088","1/08/2026 08:50:46","DAF3A3221464DF43F5A6FE9139E0DB28"
"C:\Users\Usuario\Desktop\BotMensajes\diag_handles2.js","C:\Users\Usuario\Desktop\BotMensajes\diag_handles2.js","3306","1/08/2026 08:52:38","5A4CB586DCDF36E243CF957660EC0528"
"C:\Users\Usuario\Desktop\BotMensajes\diagnose.js","C:\Users\Usuario\Desktop\BotMensajes\diagnose.js","2859","1/08/2026 08:08:52","A388925F5445AFFEE9C6EDF2B1D67D66"
"C:\Users\Usuario\Desktop\BotMensajes\docker-compose.yml","C:\Users\Usuario\Desktop\BotMensajes\docker-compose.yml","850","23/07/2026 18:17:22","1CF9598E354BCF18DA82DC1F67632452"
"C:\Users\Usuario\Desktop\BotMensajes\Dockerfile","C:\Users\Usuario\Desktop\BotMensajes\Dockerfile","362","23/07/2026 18:13:04","4F199A913AF29B08FD1C59C1BB4F0BC2"
"C:\Users\Usuario\Desktop\BotMensajes\ecosystem.config.js","C:\Users\Usuario\Desktop\BotMensajes\ecosystem.config.js","705","30/07/2026 21:50:16","5A6713F11AEA5E936A8EE338A85C84D9"
"C:\Users\Usuario\Desktop\BotMensajes\index.js","C:\Users\Usuario\Desktop\BotMensajes\index.js","24858","22/08/2026 21:13:45","A5AD7BA5C87326EBE3AF0B3C855CBFDB"
"C:\Users\Usuario\Desktop\BotMensajes\leads.json","C:\Users\Usuario\Desktop\BotMensajes\leads.json","708","1/08/2026 07:59:51","CC626C830B68DCFE1945857D349B0D5A"
"C:\Users\Usuario\Desktop\BotMensajes\MANUAL_OPERATIVO.md","C:\Users\Usuario\Desktop\BotMensajes\MANUAL_OPERATIVO.md","15467","30/07/2026 22:41:55","2B6525148EEF5837D7902E72F85B1D8B"
"C:\Users\Usuario\Desktop\BotMensajes\MIGRACION_API_OFICIAL.md","C:\Users\Usuario\Desktop\BotMensajes\MIGRACION_API_OFICIAL.md","4589","30/07/2026 22:49:59","851B61B6238BD0AA5B39194CF303E575"
